,日期,净值,沪深300收益
227,20151111,1.5372259926286593,1.1094474389045728
228,20151112,1.5256967976839444,1.0983572640940193
229,20151113,1.5041844728366007,1.0841530854836774
230,20151116,1.5126079058844857,1.089328670175129
231,20151117,1.5101877332350704,1.0876677311670966
232,20151118,1.490102236383044,1.075279406040594
233,20151119,1.5157319948488326,1.0924666071472497
234,20151120,1.5177024464421363,1.0922970491585045
235,20151123,1.5117834069010119,1.0862057529326818
236,20151124,1.5167722921437854,1.0863659633825358
237,20151125,1.534670205191082,1.094387540859308
238,20151126,1.5234671126931874,1.0879691965312819
239,20151127,1.4349536734457131,1.0293846685892307
240,20151130,1.4421284418129416,1.032110735055152
241,20151201,1.4507812124638193,1.0394278032849509
242,20151202,1.50489535168872,1.0771242860925696
243,20151203,1.5199443052056072,1.0850375710289961
244,20151204,1.487873480365769,1.0642859478708304
245,20151207,1.4893613538461346,1.0671842926618926
246,20151208,1.4612124242584426,1.0484929481066894
247,20151209,1.468226243894883,1.0522313848682736
248,20151210,1.4616192257973561,1.0485114695459787
249,20151211,1.4554804250490072,1.044163127576542
250,20151214,1.5023468947355854,1.0740472672918617
251,20151215,1.4916802317829627,1.0691467549136076
252,20151216,1.491381895736606,1.0665570236047062
253,20151217,1.5201655663243228,1.0869445847218384
254,20151218,1.5250300961365608,1.09042450270659
255,20151221,1.5687984598956801,1.1188004474085178
256,20151222,1.5760149328112,1.1219166506292226
257,20151223,1.575857331317919,1.1189210682818906
258,20151224,1.5626201297348485,1.1082193806604341
259,20151225,1.5716833264873107,1.1107657312857497
260,20151228,1.5239041533620965,1.0787672245767925
261,20151229,1.5385336332343726,1.0886770338493772
262,20151230,1.5393029000509897,1.089632248140983
263,20151231,1.5231402196004544,1.0797433912465941
264,20160101,1.5231402196004544,1.0797433912465941
265,20160104,1.4131694957453016,1.0039390471008884
266,20160105,1.4216485127197733,1.006750109609299
267,20160106,1.4524982854457924,1.0244116042605098
268,20160107,1.345013412322804,0.9533864281259631
269,20160108,1.3778317395834803,0.9728279488518878
270,20160111,1.3050822237334725,0.9238869844926356
271,20160112,1.3121296677416334,0.9306183700844027
272,20160113,1.285099796586156,0.9133033710466495
273,20160114,1.3131149721517341,0.9323146734655783
274,20160115,1.2672872596236386,0.9025526594905737
275,20160118,1.2724831373880956,0.9060250820803628
276,20160119,1.311675618019649,0.9327643103440793
277,20160120,1.2950173376707994,0.9186570509527688
278,20160121,1.2557783123393742,0.891733621187369
279,20160122,1.2699686072688092,0.9010282582178034
280,20160125,1.278985384380418,0.9054917514480727
281,20160126,1.1968745227031952,0.8509757759831917
282,20160127,1.1924460869691933,0.8480364814474506
283,20160128,1.1589383519253589,0.8258698782070668
284,20160129,1.1969515298685105,0.8525911059469737
285,20160201,1.1789972569204827,0.8395559195532861
286,20160202,1.211183882034412,0.8570025365689903
287,20160203,1.2097304613759707,0.8533286065076814
288,20160204,1.2273925261120597,0.8637819910836634
289,20160205,1.2165914718822737,0.857713209982477
290,20160208,1.2165914718822737,0.857713209982477
291,20160209,1.2165914718822737,0.857713209982477
292,20160210,1.2165914718822737,0.857713209982477
293,20160211,1.2165914718822737,0.857713209982477
294,20160212,1.2165914718822737,0.857713209982477
295,20160215,1.208683627315039,0.8527694905591304
296,20160216,1.251591896084723,0.8789103895145502
297,20160217,1.264858770183221,0.8865170867512383
298,20160218,1.2608112221186347,0.8837326777515552
299,20160219,1.2611894654852702,0.8831210361587692
300,20160222,1.2936020347482418,0.9025924227055482
301,20160223,1.2782081705347377,0.8940539523738552
302,20160224,1.2885616567160691,0.8998946303742923
303,20160225,1.1973314914205715,0.8446789496607539
304,20160226,1.2137349328530334,0.8531526528344314
305,20160229,1.177929752333869,0.8327316084278338
306,20160301,1.2046687577118478,0.8481353975091558
307,20160302,1.2647817287216692,0.8830480211723203
308,20160303,1.269208464772195,0.8850996178506159
309,20160304,1.2759352696354878,0.8953638522278543
310,20160307,1.2858875647386445,0.898532812610785
311,20160308,1.2888451061375434,0.899352675696833
312,20160309,1.2708012746516177,0.8890021719281542
313,20160310,1.24500400877619,0.8719967992637728
314,20160311,1.2455020103797003,0.8734839261399729
315,20160314,1.271533002396636,0.8872031034986709
316,20160315,1.2739489151011896,0.8898334951547625
317,20160316,1.277643366954983,0.8942477329324213
318,20160317,1.2955303740923527,0.9041367634653035
319,20160318,1.3222182997986551,0.9179581270773314
320,20160321,1.358711524873098,0.9403789660117119
321,20160322,1.3483853172840625,0.9335356125314901
322,20160323,1.354857566807026,0.9365170144018661
323,20160324,1.3314185309012645,0.920819602628308
324,20160325,1.3415373117361142,0.925440180815551
325,20160328,1.3279877848875794,0.9173114105088911
326,20160329,1.3125831265828833,0.9073797227861454
327,20160330,1.3527481702563195,0.9307819954246257
328,20160331,1.3539656436095502,0.9313065573130022
329,20160401,1.3557257989462428,0.932408264613488
330,20160404,1.3557257989462428,0.932408264613488
331,20160405,1.3780952746288557,0.9447339930631422
332,20160406,1.3750634650246722,0.9427203074558922
333,20160407,1.351137360733243,0.9287605250249243
334,20160408,1.342760309096697,0.9219410468375366
335,20160411,1.3681384789386246,0.9347815844801914
336,20160412,1.3632131804144454,0.9314112613244856
337,20160413,1.3831160928484962,0.9438360794743385
338,20160414,1.3918297242334416,0.9480175837914255
339,20160415,1.3872366861434713,0.9469679969786903
340,20160418,1.3657345175082476,0.9343062201649277
341,20160419,1.3691488538020182,0.9371567275510752
342,20160420,1.3423135362674987,0.9205810522782094
343,20160421,1.3354677372325345,0.9146706584226969
344,20160422,1.3434805436559298,0.9188084347792114
345,20160425,1.3413309747860802,0.9150844389523233
346,20160426,1.3488424282448823,0.9200410655036746
347,20160427,1.3430424058034294,0.9162080247029696
348,20160428,1.3415650591570456,0.9146641759189456
349,20160429,1.3412967461452143,0.9135541050310307
350,20160502,1.3412967461452143,0.9135541050310307
351,20160503,1.3695981074888781,0.9299903196539964
352,20160504,1.366174112220156,0.9288100698750238
353,20160505,1.3680867559772643,0.9301003485792754
354,20160506,1.3316956482682691,0.9059167027207705
355,20160509,1.304129548349116,0.8871813986870036
356,20160510,1.3053032649426302,0.8881934217056798
357,20160511,1.3144403877972284,0.8921570675931245
358,20160512,1.3202239255035362,0.8942779460302623
359,20160513,1.312302581950515,0.8898784964642863
360,20160516,1.3217511605405587,0.8957745072646005
361,20160517,1.3159354554341804,0.8930878567366671
362,20160518,1.3056711588817937,0.8878818563691323
363,20160519,1.3033209507958066,0.8862798676295885
364,20160520,1.3136171863070936,0.890828646299836
365,20160523,1.3208420808317827,0.8934344391693713
366,20160524,1.3081619968557976,0.8865852977393716
367,20160525,1.3075079158573697,0.8853322934316898
368,20160526,1.3118226919796991,0.8867749977933441
369,20160527,1.312216238787293,0.8862796071718486
370,20160530,1.3158904442558974,0.8874980284796069
371,20160531,1.3670785825374516,0.9172626470320118
372,20160601,1.3627039310733318,0.914654365344072
373,20160602,1.366519502080337,0.9165507002695739
374,20160603,1.3769050502961475,0.9229827909783227
375,20160606,1.3724989541352,0.9199333517583068
376,20160607,1.3723617042397864,0.9194313339343155
377,20160608,1.3657743680594354,0.9156497190673876
378,20160609,1.3657743680594354,0.9156497190673876
379,20160610,1.3657743680594354,0.9156497190673876
380,20160613,1.3192014621086086,0.8873914723241947
381,20160614,1.3251378686880972,0.890181871851898
382,20160615,1.3467376159477131,0.9018691315615455
383,20160616,1.3360983887817262,0.8955911160758858
384,20160617,1.3481232742807616,0.9001295632557796
385,20160620,1.3512239578116074,0.900800155117054
386,20160621,1.3494673666664523,0.8989604842198785
387,20160622,1.3633668805431167,0.9069604726439788
388,20160623,1.3605038100939761,0.9021436540195141
389,20160624,1.340912555228623,0.8905210457088865
390,20160627,1.3641103424340784,0.9030776844149323
391,20160628,1.375705280344768,0.9076666603963878
392,20160629,1.381208101466147,0.9120042946587352
393,20160630,1.3835561552386395,0.9127368175826338
394,20160701,1.3865999787801644,0.912817646301283
395,20160704,1.41696651831545,0.927431032960927
396,20160705,1.4257517107290059,0.9282084993148515
397,20160706,1.4271774624397346,0.9309348551782617
398,20160707,1.4267493092010028,0.9289526849575527
399,20160708,1.421327661826039,0.9238379316182674
400,20160711,1.4298556277969954,0.9270356002320967
401,20160712,1.4648870906780218,0.9472507383253436
402,20160713,1.4741158793492932,0.9500537845233118
403,20160714,1.4729365866458137,0.9482871864920828
404,20160715,1.4729365866458137,0.9481464814329806
405,20160718,1.469990713472522,0.9440210334094931
406,20160719,1.463522754333243,0.9400307918928188
